FID,region,prefecture,commune,canton,operateur,operateur_unitaire,lon,lat
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de0,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,"Moov, Togocom",Togocom,0.64326,10.24351
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de1,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,"Moov, Togocom",Moov,0.643,10.243328
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de1,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,"Moov, Togocom",Togocom,0.643,10.243328
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de2,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,"Moov, Togocom",Moov,0.643089,10.243189
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de2,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,"Moov, Togocom",Togocom,0.643089,10.243189
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de3,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.20347,10.862735
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de3,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.20347,10.862735
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de4,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.202497,10.865753
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de4,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.202497,10.865753
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de5,Maritime,Avé,Avé 1,Tovégan,Moov,Moov,0.89553,6.56755
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de6,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,"Moov, Togocom",Moov,0.642924,10.243403
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de6,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,"Moov, Togocom",Togocom,0.642924,10.243403
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de7,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,"Moov, Togocom",Moov,0.077535,11.070032
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de7,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,"Moov, Togocom",Togocom,0.077535,11.070032
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de8,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.199998,10.872072
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de8,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.199998,10.872072
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de9,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,"Moov, Togocom",Moov,0.077975,11.069657
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6de9,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,"Moov, Togocom",Togocom,0.077975,11.069657
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dea,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.193059,10.858227
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dea,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.193059,10.858227
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6deb,Maritime,Avé,Avé 2,Noépé,"Moov, Togocom",Moov,1.036625,6.261847
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6deb,Maritime,Avé,Avé 2,Noépé,"Moov, Togocom",Togocom,1.036625,6.261847
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dec,Savanes,Tandjoaré,Tandjoaré 2,Nano,Moov,Moov,0.119153,10.706172
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ded,Maritime,Avé,Avé 2,Noépé,Togocom,Togocom,1.035848,6.263322
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dee,Maritime,Avé,Avé 2,Noépé,"Moov, Togocom",Moov,1.035735,6.26139
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dee,Maritime,Avé,Avé 2,Noépé,"Moov, Togocom",Togocom,1.035735,6.26139
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6def,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,"Moov, Togocom",Moov,1.210486,6.355795
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6def,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,"Moov, Togocom",Togocom,1.210486,6.355795
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df0,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.200715,10.86512
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df0,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.200715,10.86512
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.183842,10.857143
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.183842,10.857143
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df2,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Moov,1.206461,6.402034
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df2,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Togocom,1.206461,6.402034
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df3,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.202573,10.864278
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df3,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.202573,10.864278
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df4,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Moov,1.207745,6.406219
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df4,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Togocom,1.207745,6.406219
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df5,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,Togocom,Togocom,0.643162,10.243975
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df6,Savanes,Tône,Tône 1,Dapaong,Togocom,Togocom,0.197792,10.877427
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df7,Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",Moov,0.391865,10.609029
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df7,Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",Togocom,0.391865,10.609029
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df8,Maritime,Avé,Avé 2,Noépé,"Moov, Togocom",Moov,1.035647,6.263113
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df8,Maritime,Avé,Avé 2,Noépé,"Moov, Togocom",Togocom,1.035647,6.263113
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df9,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.186877,10.85857
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6df9,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.186877,10.85857
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dfa,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,"Moov, Togocom",Moov,0.190502,10.738515
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dfa,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,"Moov, Togocom",Togocom,0.190502,10.738515
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dfb,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,"Moov, Togocom",Moov,1.209226,6.346981
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dfb,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,"Moov, Togocom",Togocom,1.209226,6.346981
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dfc,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,Moov,Moov,0.642152,10.240643
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dfd,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.203287,10.865042
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dfd,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.203287,10.865042
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dfe,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.20299,10.867442
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dfe,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.20299,10.867442
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6dff,Maritime,Avé,Avé 1,Kévé,Moov,Moov,0.927948,6.431232
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e00,Maritime,Avé,Avé 1,Kévé,"Moov, Togocom",Moov,0.928567,6.430107
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e00,Maritime,Avé,Avé 1,Kévé,"Moov, Togocom",Togocom,0.928567,6.430107
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e01,Maritime,Yoto,Yoto 1,Tabligbo,"Moov, Togocom",Moov,1.501385,6.595559
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e01,Maritime,Yoto,Yoto 1,Tabligbo,"Moov, Togocom",Togocom,1.501385,6.595559
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e02,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.206919,10.874856
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e02,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.206919,10.874856
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e03,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,"Moov, Togocom",Moov,1.209115,6.350557
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e03,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,"Moov, Togocom",Togocom,1.209115,6.350557
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e04,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.19912,10.885498
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e04,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.19912,10.885498
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e05,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.199066,10.885494
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e05,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.199066,10.885494
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e06,Maritime,Yoto,Yoto 1,Tabligbo,"Moov, Togocom",Moov,1.499757,6.595908
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e06,Maritime,Yoto,Yoto 1,Tabligbo,"Moov, Togocom",Togocom,1.499757,6.595908
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e07,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.201458,10.87618
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e07,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.201458,10.87618
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e08,Savanes,Tandjoaré,Tandjoaré 1,Goundoga,"Moov, Togocom",Moov,0.151163,10.717162
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e08,Savanes,Tandjoaré,Tandjoaré 1,Goundoga,"Moov, Togocom",Togocom,0.151163,10.717162
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e09,Maritime,Yoto,Yoto 1,Tabligbo,"Moov, Togocom",Moov,1.500883,6.599312
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e09,Maritime,Yoto,Yoto 1,Tabligbo,"Moov, Togocom",Togocom,1.500883,6.599312
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e0a,Savanes,Tône,Tône 1,Dapaong,Togocom,Togocom,0.203757,10.877215
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e0b,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.200635,10.850262
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e0b,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.200635,10.850262
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e0c,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.19885,10.886492
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e0c,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.19885,10.886492
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e0d,Savanes,Tandjoaré,Tandjoaré 1,Goundoga,Moov,Moov,0.151068,10.717052
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e0e,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.369538,10.723958
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e0e,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.369538,10.723958
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e0f,Savanes,Oti-Sud,Oti-Sud 1,Gando,"Moov, Togocom",Moov,0.74597,10.331207
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e0f,Savanes,Oti-Sud,Oti-Sud 1,Gando,"Moov, Togocom",Togocom,0.74597,10.331207
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e10,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.216462,10.881072
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e10,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.216462,10.881072
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e11,Savanes,Tandjoaré,Tandjoaré 1,Goundoga,"Moov, Togocom",Moov,0.15147,10.716642
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e11,Savanes,Tandjoaré,Tandjoaré 1,Goundoga,"Moov, Togocom",Togocom,0.15147,10.716642
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e12,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.202674,10.874247
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e12,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.202674,10.874247
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e13,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.202712,10.874293
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e13,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.202712,10.874293
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e14,Maritime,Zio,Zio 1,Davié,"Moov, Togocom",Moov,1.195393,6.349784
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e14,Maritime,Zio,Zio 1,Davié,"Moov, Togocom",Togocom,1.195393,6.349784
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e15,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Moov,1.208438,6.432727
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e15,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Togocom,1.208438,6.432727
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e16,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Nsp,Non renseigne,1.203953,6.35287
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e17,Savanes,Tône,Tône 1,Dapaong,Nsp,Non renseigne,0.202593,10.875015
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e18,Savanes,Tandjoaré,Tandjoaré 1,Goundoga,"Moov, Togocom",Moov,0.151672,10.716705
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e18,Savanes,Tandjoaré,Tandjoaré 1,Goundoga,"Moov, Togocom",Togocom,0.151672,10.716705
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e19,Maritime,Avé,Avé 1,Zolo,Moov,Moov,0.915747,6.409457
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e1a,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.196209,10.839614
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e1a,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.196209,10.839614
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e1b,Savanes,Oti-Sud,Oti-Sud 1,Gando,Togocom,Togocom,0.744082,10.327367
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e1c,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.223018,10.88519
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e1c,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.223018,10.88519
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e1d,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.203358,10.872129
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e1d,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.203358,10.872129
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e1e,Savanes,Oti-Sud,Oti-Sud 1,Gando,"Moov, Togocom",Moov,0.74253,10.32691
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e1e,Savanes,Oti-Sud,Oti-Sud 1,Gando,"Moov, Togocom",Togocom,0.74253,10.32691
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e1f,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Moov,Moov,0.364567,10.72113
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e20,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Ogaro,"Moov, Togocom",Moov,0.4456,10.72453
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e20,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Ogaro,"Moov, Togocom",Togocom,0.4456,10.72453
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e21,Savanes,Tône,Tône 1,Dapaong,Togocom,Togocom,0.220172,10.88699
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e22,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.202887,10.871716
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e22,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.202887,10.871716
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e23,Maritime,Avé,Avé 1,Zolo,"Moov, Togocom",Moov,0.891212,6.377068
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e23,Maritime,Avé,Avé 1,Zolo,"Moov, Togocom",Togocom,0.891212,6.377068
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e24,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.360645,10.718595
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e24,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.360645,10.718595
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e25,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.225957,10.879193
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e25,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.225957,10.879193
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e26,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.3606,10.718415
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e26,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.3606,10.718415
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e27,Maritime,Avé,Avé 1,Kévé,Nsp,Non renseigne,0.923801,6.441932
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e28,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Moov,1.208619,6.434892
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e28,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Togocom,1.208619,6.434892
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e29,Maritime,Avé,Avé 2,Noépé,"Moov, Togocom",Moov,1.021573,6.27816
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e29,Maritime,Avé,Avé 2,Noépé,"Moov, Togocom",Togocom,1.021573,6.27816
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e2a,Maritime,Avé,Avé 1,Zolo,Moov,Moov,0.891585,6.375635
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e2b,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Ogaro,Moov,Moov,0.469485,10.718577
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e2c,Savanes,Tône,Tône 1,Dapaong,Togocom,Togocom,0.217497,10.875283
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e2d,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.360372,10.717935
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e2d,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.360372,10.717935
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e2e,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.193156,10.826113
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e2e,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.193156,10.826113
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e2f,Maritime,Zio,Zio 1,Djagblé,"Moov, Togocom",Moov,1.276813,6.248106
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e2f,Maritime,Zio,Zio 1,Djagblé,"Moov, Togocom",Togocom,1.276813,6.248106
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e30,Savanes,Oti-Sud,Oti-Sud 1,Gando,Togocom,Togocom,0.74686,10.331852
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e31,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.223598,10.87504
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e31,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.223598,10.87504
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e32,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.223614,10.875034
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e32,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.223614,10.875034
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e33,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Moov,1.201179,6.436792
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e33,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Togocom,1.201179,6.436792
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e34,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Ogaro,Moov,Moov,0.474158,10.71003
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e35,Maritime,Zio,Zio 1,Davié,"Moov, Togocom",Moov,1.18798,6.34252
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e35,Maritime,Zio,Zio 1,Davié,"Moov, Togocom",Togocom,1.18798,6.34252
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e36,Maritime,Avé,Avé 2,Aképé,"Moov, Togocom",Moov,1.089923,6.238643
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e36,Maritime,Avé,Avé 2,Aképé,"Moov, Togocom",Togocom,1.089923,6.238643
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e37,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.1852,10.870772
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e37,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.1852,10.870772
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e38,Savanes,Tône,Tône 1,Dapaong,Togocom,Togocom,0.22227,10.874786
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e39,Savanes,Tône,Tône 1,Dapaong,Togocom,Togocom,0.190196,10.874355
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e3a,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.197125,10.87704
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e3a,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.197125,10.87704
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6e3b,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.221672,10.875102
